model,beta_0,beta_1,r_squared,p_value,correlation_coef,correlation_significant,mae_before,rmse_before,r2_before,corr_before,mae_after,rmse_after,r2_after,corr_after,mae_improvement_pct,rmse_improvement_pct
LASSO,6.2353086789500285,-0.11908430186536623,0.08013352001685625,0.0035939622497773603,-0.28307864634559815,True,7.078027688548415,8.777635531973655,0.8229096297287238,0.9091759566122221,6.746265624729782,8.415692770641117,0.8372130437409417,0.9273633415008942,4.687210596186184,4.1234653684823765
Elastic Net,9.862218924057121,-0.19214682892802123,0.25459795093742843,4.7215863158598274e-08,-0.5045770019902102,True,6.3943456747630725,7.944919880519809,0.8549162066665098,0.9262319677077271,5.275593583806115,6.857741833081184,0.8919058672961852,0.9499738975623684,17.495958896504447,13.68393972234109
Ridge,9.033043661522541,-0.1752922969476783,0.21012255546393555,9.91700752427623e-07,-0.4583912689656464,True,6.415117296239537,7.978758758538791,0.8536776975225951,0.9245677785373676,5.461115611035978,7.089023598397241,0.8844918303101041,0.9468117138958176,14.871149523061467,11.15129792825687
PLSR,6.964339135406027,-0.13396013272788854,0.13654571883855715,0.00011319887166945521,-0.36952093152967236,True,5.92097819158629,7.564556380538879,0.8684754615773064,0.931978511094041,5.362948426761564,7.026455006884415,0.8865218107106599,0.9476743863914671,9.424621181981147,7.113455787557116
SVR,8.282849499097026,-0.16334415083762605,0.16923234929724174,1.4363173598833179e-05,-0.4113785960611488,True,6.840170396414011,8.282259276116124,0.8423341988230016,0.9178115528320336,6.168818231930498,7.548866679513464,0.8690204877593728,0.9403134130793345,9.814845618984464,8.854982344220652
Random Forest,25.34397600173548,-0.5017914303912434,0.7401481375582678,1.2926458942602253e-31,-0.8603186256023218,True,10.073115090661341,12.165965683332233,0.6598010003079826,0.8587096736881047,4.828745730092627,6.201645005466377,0.911599715332101,0.9585299265235729,52.06303425869425,49.02463834857901
XGBoost,15.542394001036726,-0.3069733719587932,0.39150509270431577,1.2332256052804079e-12,-0.625703678033233,True,8.149112738095797,10.233413478058592,0.7592973331050906,0.8753947649094593,6.47861351970017,7.982529675952097,0.8535393552757484,0.9339431142351132,20.49915459613548,21.99543492435445
LightGBM,15.656959631467092,-0.3053155863989978,0.3685075980332292,8.418577785102207e-12,-0.6070482666421422,True,8.235452801089705,10.494004089467913,0.7468824161297074,0.8667800696170638,6.631254346288388,8.336617736647465,0.8402578100085617,0.9285798850624589,19.479177326947354,20.558276273073524
