model,mae_before,mae_after,mae_improvement_pct,rmse_before,rmse_after,rmse_improvement_pct,r2_before,r2_after,age_bias_detected,correction_beta_1,correction_p_value
LASSO,7.078027688548415,6.746265624729782,4.687210596186184,8.777635531973655,8.415692770641117,4.1234653684823765,0.8229096297287238,0.8372130437409417,True,-0.11908430186536623,0.0035939622497773603
Elastic Net,6.3943456747630725,5.275593583806115,17.495958896504447,7.944919880519809,6.857741833081184,13.68393972234109,0.8549162066665098,0.8919058672961852,True,-0.19214682892802123,4.7215863158598274e-08
Ridge,6.415117296239537,5.461115611035978,14.871149523061467,7.978758758538791,7.089023598397241,11.15129792825687,0.8536776975225951,0.8844918303101041,True,-0.1752922969476783,9.91700752427623e-07
PLSR,5.92097819158629,5.362948426761564,9.424621181981147,7.564556380538879,7.026455006884415,7.113455787557116,0.8684754615773064,0.8865218107106599,True,-0.13396013272788854,0.00011319887166945521
SVR,6.840170396414011,6.168818231930498,9.814845618984464,8.282259276116124,7.548866679513464,8.854982344220652,0.8423341988230016,0.8690204877593728,True,-0.16334415083762605,1.4363173598833179e-05
Random Forest,10.073115090661341,4.828745730092627,52.06303425869425,12.165965683332233,6.201645005466377,49.02463834857901,0.6598010003079826,0.911599715332101,True,-0.5017914303912434,1.2926458942602253e-31
XGBoost,8.149112738095797,6.47861351970017,20.49915459613548,10.233413478058592,7.982529675952097,21.99543492435445,0.7592973331050906,0.8535393552757484,True,-0.3069733719587932,1.2332256052804079e-12
LightGBM,8.235452801089705,6.631254346288388,19.479177326947354,10.494004089467913,8.336617736647465,20.558276273073524,0.7468824161297074,0.8402578100085617,True,-0.3053155863989978,8.418577785102207e-12
